Title,Upload Date,Module,Authors,Print Publication Date,DOI,ISBN,Sub-discipline,LINK,Site Module Name
Adolescence,May-16,Medicine and Health,Smith,2016,10.1093/actrade/9780199665563.001.0001,9780199665563,"Medicine and Health, Preclinical Medicine, Reproduction, Growth and Development, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199665563.001.0001/actrade-9780199665563,VSIO_SUBJECTS:MED00010
Cancer: A Very Short Introduction,Sep-13,Medicine and Health,James,2011,10.1093/actrade/9780199560233.001.0001,9780199560233,"Medicine and Health, Clinical Medicine, Medical Oncology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199560233.001.0001/actrade-9780199560233,VSIO_SUBJECTS:MED00010
Anaesthesia: A Very Short Introduction,Sep-13,Medicine and Health,O'Donnell,2012,10.1093/actrade/9780199584543.001.0001,9780199584543,"Medicine and Health, Anaesthetics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199584543.001.0001/actrade-9780199584543,VSIO_SUBJECTS:MED00010
Drugs: A Very Short Introduction,Jun-16,Medicine and Health,Iversen,2016,10.1093/actrade/9780198745792.001.0001,9780198745792,"Medicine and Health, Pharmacology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198745792.001.0001/actrade-9780198745792,VSIO_SUBJECTS:MED00010
Psychiatry: A Very Short Introduction,Oct-18,Medicine and Health,Burns,2018,10.1093/actrade/9780198826200.001.0001,9780198826200,"Medicine and Health, Psychiatry, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198826200.001.0001/actrade-9780198826200,VSIO_SUBJECTS:MED00010
The Immune System: A Very Short Introduction,Nov-17,Medicine and Health,Klenerman,2017,10.1093/actrade/9780198753902.001.0001,9780198753902,"Medicine and Health, Pathology, Immunology, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198753902.001.0001/actrade-9780198753902,VSIO_SUBJECTS:MED00010
Human Anatomy: A Very Short Introduction,Feb-15,Medicine and Health,Klenerman,2015,10.1093/actrade/9780198707370.001.0001,9780198707370,"Medicine and Health, Preclinical Medicine, Anatomy, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198707370.001.0001/actrade-9780198707370,VSIO_SUBJECTS:MED00010
The History of Medicine: A Very Short Introduction,Sep-13,Medicine and Health,Bynum,2008,10.1093/actrade/9780199215430.001.0001,9780199215430,"Medicine and Health, History of Medicine, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780199215430.001.0001/actrade-9780199215430,VSIO_SUBJECTS:MED00010
Molecular Biology: A Very Short Introduction,Aug-16,Medicine and Health,"Divan, Royds",2016,10.1093/actrade/9780198723882.001.0001,9780198723882,"Medicine and Health, Preclinical Medicine, Molecular Biology and Genetics, null",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198723882.001.0001/actrade-9780198723882,VSIO_SUBJECTS:MED00010
Dementia: A Very Short Introduction,Jul-20,Medicine and Health,Taylor,2020,10.1093/actrade/9780198825784.001.0001,9780198825784,"null, Medicine and Health, Clinical Medicine, Neurology",https://www.veryshortintroductions.com/view/10.1093/actrade/9780198825784.001.0001/actrade-9780198825784,VSIO_SUBJECTS:MED00010
